"variable","mean","median","sd","2.5%","97.5%","rhat","ess_bulk","ess_tail","pr_gt_0"
"b_Intercept",0.0109710521783443,0.0106727314534446,0.125199794912906,-0.23309210678401,0.260086788342288,0.999960083290898,11445.2773222954,7979.72285638858,0.533916666666667
"b_lag_mood_z",-0.144645483550581,-0.145340141642301,0.108909974330305,-0.356455443904255,0.0723018270589584,1.00006472451836,10768.144325798,8643.29515107696,0.0903333333333333
"b_melatonin",-0.0206561686888446,-0.0199455206837629,0.17549480863798,-0.36237062645704,0.325905546445217,1.00013660005303,11084.3486894913,8164.08754843676,0.454083333333333
"b_metacognition_z",0.460630400914841,0.459743179297838,0.138749521145578,0.187434069321789,0.734968063964267,1.00030257145882,8161.90824006524,8136.35540870596,0.999166666666667
"b_agency_z",0.536264122800232,0.536508079632199,0.109654292501645,0.323612713559851,0.750414530712517,1.00003742103597,10413.8994142503,8699.77935326416,1
"b_melatonin:metacognition_z",-0.0353363873703339,-0.0339844385411569,0.176610251577757,-0.382713463712658,0.312767674781386,1.00028241560597,9559.5045285348,8319.45458584336,0.42275
"sigma",0.639179816016198,0.633874284269461,0.06683337983435,0.524201058142807,0.787110412702595,1.00009353769562,9418.97807752312,8317.2089353895,1
"Intercept",-0.000882279635793081,-0.00321845596913908,0.0890696968386681,-0.172411082988026,0.175776740486136,1.00025149137332,12458.3379306489,8766.89792518431,0.4865
"lprior",-7.46563524584541,-7.45186590599251,0.118009520058508,-7.73774863958407,-7.2778101738272,0.999913348323167,7788.62653486259,7277.97583649163,0
"lp__",-58.929375791353,-58.5850631930637,2.00441457020609,-63.8351362668202,-56.0768902032058,1.00027186723364,5283.93090109576,6991.55157877952,0
